Generation,Individus,Average Fitness,Std Fitness,Min Fitness,Max Fitness,Execution Time,Best Individual
0,100,9.49,6.264974062196907,4.0,25.0,299.98583483695984,(1 + i)
1,68,8.35,4.9363448015713,4.0,25.0,299.98583483695984,(1 + i)
2,57,7.06,2.715952871461506,4.0,25.0,299.98583483695984,(1 + i)
3,50,6.82,3.442034282223232,4.0,25.0,299.98583483695984,(1 + i)
4,60,6.25,3.6093628246547893,4.0,25.0,299.98583483695984,(1 + i)
5,40,5.86,4.98,4.0,25.0,299.98583483695984,(1 + i)
6,41,4.99,4.136411488234699,4.0,25.0,299.98583483695984,(1 + i)
7,41,5.14,4.584800977141755,4.0,25.0,299.98583483695984,(1 + i)
8,55,6.67,6.800080881871918,4.0,25.0,299.98583483695984,(1 + i)
9,71,5.29,4.594115801762076,4.0,25.0,299.98583483695984,(1 + i)
10,56,5.08,4.146516610361039,4.0,25.0,299.98583483695984,(1 + i)
11,55,5.65,5.356071321407138,4.0,25.0,299.98583483695984,(1 + i)
12,50,5.02,3.6550786585243276,4.0,25.0,299.98583483695984,(1 + i)
13,66,5.86,5.688620219350209,4.0,25.0,299.98583483695984,(1 + i)
14,48,4.54,2.9813419797131626,4.0,25.0,299.98583483695984,(1 + i)
15,47,5.11,4.1494457461208,4.0,25.0,299.98583483695984,(1 + i)
16,47,4.84,3.6268995023297794,4.0,25.0,299.98583483695984,(1 + i)
17,60,4.81,3.6213119169715267,4.0,25.0,299.98583483695984,(1 + i)
18,52,5.51,5.002989106524219,2.0,25.0,299.98583483695984,(1 + i)
19,60,4.64,3.02826683104379,2.0,25.0,299.98583483695984,(1 + i)
20,55,4.6,3.0495901363953815,2.0,25.0,299.98583483695984,(1 + i)
21,54,4.8,4.168932717135166,2.0,25.0,299.98583483695984,(1 + i)
22,59,5.3,5.058655947976696,2.0,25.0,299.98583483695984,(1 + i)
23,60,4.91,4.699138218865243,2.0,25.0,299.98583483695984,(1 + i)
24,46,5.04,5.192147917769677,2.0,25.0,299.98583483695984,(1 + i)
25,59,6.69,7.807297868020664,2.0,25.0,299.98583483695984,(1 + i)
26,50,6.96,8.543910111886712,0.0,25.0,299.98583483695984,(1 + i)
