Generation,Individus,Average Fitness,Std Fitness,Min Fitness,Max Fitness,Execution Time,Best Individual
0,100,10.0,0.0,10.0,10.0,84.23457288742065,(1 - 2)
1,64,10.0,0.0,10.0,10.0,84.23457288742065,(1 - 2)
2,52,9.95,0.49749371855331004,5.0,10.0,84.23457288742065,(1 - 2)
3,61,9.89,0.7056202944927247,5.0,10.0,84.23457288742065,(1 - 2)
4,57,9.88,0.711055553385247,5.0,10.0,84.23457288742065,(1 - 2)
5,48,9.68,1.1034491379306977,5.0,10.0,84.23457288742065,(1 - 2)
6,48,9.37,1.65924681708298,1.0,10.0,84.23457288742065,(1 - 2)
7,53,8.74,2.1708063018150647,1.0,10.0,84.23457288742065,(1 - 2)
8,50,7.63,2.4724684022247887,1.0,10.0,84.23457288742065,(1 - 2)
9,53,6.35,2.5391927851189244,1.0,10.0,84.23457288742065,(1 - 2)
10,58,5.48,2.3429895432971954,1.0,10.0,84.23457288742065,(1 - 2)
11,63,5.86,2.5652290346088003,1.0,10.0,84.23457288742065,(1 - 2)
12,47,5.56,2.739781013146853,1.0,10.0,84.23457288742065,(1 - 2)
13,66,5.12,3.024169307429728,1.0,10.0,84.23457288742065,(1 - 2)
14,58,3.99,3.2046684695924474,0.0,10.0,84.23457288742065,(1 - 2)
