Generation,Individus,Average Fitness,Std Fitness,Min Fitness,Max Fitness,Execution Time,Best Individual
0,100,9.95,0.29580398915498074,8.0,10.0,109.13920187950134,(i - 1)
1,58,9.88,0.45343136195018535,8.0,10.0,109.13920187950134,(i - 1)
2,56,9.78,0.5929586832149437,8.0,10.0,109.13920187950134,(i - 1)
3,58,9.54,0.7927168473042566,8.0,10.0,109.13920187950134,(i - 1)
4,54,9.16,0.9666436778875659,8.0,10.0,109.13920187950134,(i - 1)
5,45,8.85,1.061838029079765,5.0,10.0,109.13920187950134,(i - 1)
6,44,8.64,1.0818502669038816,5.0,10.0,109.13920187950134,(i - 1)
7,59,8.66,1.2745195173083856,5.0,10.0,109.13920187950134,(i - 1)
8,51,8.43,1.4230600830604447,5.0,10.0,109.13920187950134,(i - 1)
9,49,8.54,1.452033057474932,5.0,10.0,109.13920187950134,(i - 1)
10,56,8.13,1.7126295571430503,5.0,10.0,109.13920187950134,(i - 1)
11,56,8.2,1.944222209522358,5.0,10.0,109.13920187950134,(i - 1)
12,46,7.77,1.9842126902124178,5.0,10.0,109.13920187950134,(i - 1)
13,62,8.0,2.1540659228538015,5.0,10.0,109.13920187950134,(i - 1)
14,64,8.27,2.158031510427964,5.0,10.0,109.13920187950134,(i - 1)
15,53,8.35,2.1136461387848255,5.0,10.0,109.13920187950134,(i - 1)
16,72,8.81,1.9062790981385698,5.0,10.0,109.13920187950134,(i - 1)
17,51,8.58,1.9035755829490981,5.0,10.0,109.13920187950134,(i - 1)
18,57,8.3,2.0952326839756963,5.0,10.0,109.13920187950134,(i - 1)
19,53,7.8,2.3664319132398464,0.0,10.0,109.13920187950134,(i - 1)
