File Name,Content
Gcd2.py,"import unittest

class Gcd2:
    @staticmethod
    def gcd(a, b):
        if a == 0:
            return b
        while b != 0:
            if a > b:
                a = a - b
            else:
                b = a - b
        return a
    
class GcdTest(unittest.TestCase):
    def test_0(self):
        result = Gcd2.gcd(0, 0)
        self.assertEqual(0, result)
        
    def test_1(self):
        result = Gcd2.gcd(5, 5)
        self.assertEqual(5, result)
    
    def test_2(self):
        result = Gcd2.gcd(10, 10)
        self.assertEqual(10, result)
   
    def test_3(self):
        result = Gcd2.gcd(15, 15)
        self.assertEqual(15, result)
   
    def test_4(self):
        result = Gcd2.gcd(20, 20)
        self.assertEqual(20, result)
   
    def test_5(self):
        result = Gcd2.gcd(5, 10)
        self.assertEqual(5, result)
    
    def test_6(self):
        result = Gcd2.gcd(10, 15)
        self.assertEqual(5, result)
    
    def test_7(self):
        result = Gcd2.gcd(15, 20)
        self.assertEqual(5, result)
    
    def test_8(self):
        result = Gcd2.gcd(0, 10)
        self.assertEqual(10, result)
    
    def test_9(self):
        result = Gcd2.gcd(5, 15)
        self.assertEqual(5, result)
    
    def test_10(self):
        result = Gcd2.gcd(10, 20)
        self.assertEqual(10, result)
    
    def test_11(self):
        result = Gcd2.gcd(20, 0)
        self.assertEqual(20, result)
    
    def test_12(self):
        result = Gcd2.gcd(0, 15)
        self.assertEqual(15, result)
    
    def test_13(self):
        result = Gcd2.gcd(5, 20)
        self.assertEqual(5, result)
    
    def test_14(self):
        result = Gcd2.gcd(15, 0)
        self.assertEqual(15, result)
    
    def test_15(self):
        result = Gcd2.gcd(20, 5)
        self.assertEqual(5, result)
    
    def test_16(self):
        result = Gcd2.gcd(0, 20)
        self.assertEqual(20, result)
    
    def test_17(self):
        result = Gcd2.gcd(10, 0)
        self.assertEqual(10, result)
    
    def test_18(self):
        result = Gcd2.gcd(15, 5)
        self.assertEqual(5, result)
    
    def test_19(self):
        result = Gcd2.gcd(20, 10)
        self.assertEqual(10, result)
    
    def test_20(self):
        result = Gcd2.gcd(5, 0)
        self.assertEqual(5, result)
    
    def test_21(self):
        result = Gcd2.gcd(10, 5)
        self.assertEqual(5, result)
    
    def test_22(self):
        result = Gcd2.gcd(15, 10)
        self.assertEqual(5, result)
    
    def test_23(self):
        result = Gcd2.gcd(20, 15)
        self.assertEqual(5, result)

    def test_24(self):
        result = Gcd2.gcd(0, 5)
        self.assertEqual(5, result)


if __name__ == '__main__':
    unittest.main()"
Gcd.py,"
import unittest

class Gcd:
    @staticmethod
    def gcd(a, b):
        if a == 0:
            return b
        while b != 0:
            if a > b:
                a = b - a
            else:
                b = b - a
        return a  

class GcdTest(unittest.TestCase):
    def test_0(self):
        result = Gcd.gcd(0, 0)
        self.assertEqual(0, result)
        
    def test_1(self):
        result = Gcd.gcd(5, 5)
        self.assertEqual(5, result)
    
    def test_2(self):
        result = Gcd.gcd(10, 10)
        self.assertEqual(10, result)
   
    def test_3(self):
        result = Gcd.gcd(15, 15)
        self.assertEqual(15, result)
   
    def test_4(self):
        result = Gcd.gcd(20, 20)
        self.assertEqual(20, result)
   
    def test_5(self):
        result = Gcd.gcd(5, 10)
        self.assertEqual(5, result)
    
    def test_6(self):
        result = Gcd.gcd(10, 15)
        self.assertEqual(5, result)
    
    def test_7(self):
        result = Gcd.gcd(15, 20)
        self.assertEqual(5, result)
    
    def test_8(self):
        result = Gcd.gcd(0, 10)
        self.assertEqual(10, result)
    
    def test_9(self):
        result = Gcd.gcd(5, 15)
        self.assertEqual(5, result)
    
    def test_10(self):
        result = Gcd.gcd(10, 20)
        self.assertEqual(10, result)
    
    def test_11(self):
        result = Gcd.gcd(20, 0)
        self.assertEqual(20, result)
    
    def test_12(self):
        result = Gcd.gcd(0, 15)
        self.assertEqual(15, result)
    
    def test_13(self):
        result = Gcd.gcd(5, 20)
        self.assertEqual(5, result)
    
    def test_14(self):
        result = Gcd.gcd(15, 0)
        self.assertEqual(15, result)
    
    def test_15(self):
        result = Gcd.gcd(20, 5)
        self.assertEqual(5, result)
    
    def test_16(self):
        result = Gcd.gcd(0, 20)
        self.assertEqual(20, result)
    
    def test_17(self):
        result = Gcd.gcd(10, 0)
        self.assertEqual(10, result)
    
    def test_18(self):
        result = Gcd.gcd(15, 5)
        self.assertEqual(5, result)
    
    def test_19(self):
        result = Gcd.gcd(20, 10)
        self.assertEqual(10, result)
    
    def test_20(self):
        result = Gcd.gcd(5, 0)
        self.assertEqual(5, result)
    
    def test_21(self):
        result = Gcd.gcd(10, 5)
        self.assertEqual(5, result)
    
    def test_22(self):
        result = Gcd.gcd(15, 10)
        self.assertEqual(5, result)
    
    def test_23(self):
        result = Gcd.gcd(20, 15)
        self.assertEqual(5, result)

    def test_24(self):
        result = Gcd.gcd(0, 5)
        self.assertEqual(5, result)
        
if __name__ == '__main__':
    unittest.main()

"
GcdWrongIf2.py,"import unittest

class GcdWrongIf2:
    @staticmethod
    def gcd(a, b):
        if a < b:  # a == 0
            return b
        while b != 0:
            if a > b:
                a = a - b
            else:
                b = b - a
        return a

class GcdTest(unittest.TestCase):   
    def test_0(self):
        result = GcdWrongIf2.gcd(0, 0)
        self.assertEqual(0, result)
    
    def test_1(self):
        result = GcdWrongIf2.gcd(5, 5)
        self.assertEqual(5, result)
    
    def test_2(self):
        result = GcdWrongIf2.gcd(10, 10)
        self.assertEqual(10, result)
    
    def test_3(self):
        result = GcdWrongIf2.gcd(15, 15)
        self.assertEqual(15, result)
    
    def test_4(self):
        result = GcdWrongIf2.gcd(20, 20)
        self.assertEqual(20, result)
    
    def test_5(self):
        result = GcdWrongIf2.gcd(5, 10)
        self.assertEqual(5, result)
    
    def test_6(self):
        result = GcdWrongIf2.gcd(10, 15)
        self.assertEqual(5, result)
    
    def test_7(self):
        result = GcdWrongIf2.gcd(15, 20)
        self.assertEqual(5, result)
    
    def test_8(self):
        result = GcdWrongIf2.gcd(0, 10)
        self.assertEqual(10, result)
    
    def test_9(self):
        result = GcdWrongIf2.gcd(5, 15)
        self.assertEqual(5, result)
    
    def test_10(self):
        result = GcdWrongIf2.gcd(10, 20)
        self.assertEqual(10, result)
    
    def test_11(self):
        result = GcdWrongIf2.gcd(20, 0)
        self.assertEqual(20, result)
    
    def test_12(self):
        result = GcdWrongIf2.gcd(0, 15)
        self.assertEqual(15, result)
    
    def test_13(self):
        result = GcdWrongIf2.gcd(5, 20)
        self.assertEqual(5, result)
    
    def test_14(self):
        result = GcdWrongIf2.gcd(15, 0)
        self.assertEqual(15, result)
    
    def test_15(self):
        result = GcdWrongIf2.gcd(20, 5)
        self.assertEqual(5, result)
    
    def test_16(self):
        result = GcdWrongIf2.gcd(0, 20)
        self.assertEqual(20, result)
    
    def test_17(self):
        result = GcdWrongIf2.gcd(10, 0)
        self.assertEqual(10, result)
    
    def test_18(self):
        result = GcdWrongIf2.gcd(15, 5)
        self.assertEqual(5, result)
    
    def test_19(self):
        result = GcdWrongIf2.gcd(20, 10)
        self.assertEqual(10, result)
    
    def test_20(self):
        result = GcdWrongIf2.gcd(5, 0)
        self.assertEqual(5, result)
    
    def test_21(self):
        result = GcdWrongIf2.gcd(10, 5)
        self.assertEqual(5, result)
    
    def test_22(self):
        result = GcdWrongIf2.gcd(15, 10)
        self.assertEqual(5, result)
    
    def test_23(self):
        result = GcdWrongIf2.gcd(20, 15)
        self.assertEqual(5, result)
    
    def test_24(self):
        result = GcdWrongIf2.gcd(0, 5)
        self.assertEqual(5, result)

if __name__ == '__main__':
    unittest.main()"
GcdWrongIf3.py,"import unittest

class GcdWrongIf3:
    @staticmethod
    def gcd(a, b):
        if a == 0:
            return b
        while b != 0:
            if a < b:  # (a > b)
                a = a - b
            else:
                b = b - a
        return a

class GcdTest(unittest.TestCase):   
    def test_0(self):
        result = GcdWrongIf3.gcd(0, 0)
        self.assertEqual(0, result)
    
    def test_1(self):
        result = GcdWrongIf3.gcd(5, 5)
        self.assertEqual(5, result)
    
    def test_2(self):
        result = GcdWrongIf3.gcd(10, 10)
        self.assertEqual(10, result)
    
    def test_3(self):
        result = GcdWrongIf3.gcd(15, 15)
        self.assertEqual(15, result)
    
    def test_4(self):
        result = GcdWrongIf3.gcd(20, 20)
        self.assertEqual(20, result)
    
    def test_5(self):
        result = GcdWrongIf3.gcd(5, 10)
        self.assertEqual(5, result)
    
    def test_6(self):
        result = GcdWrongIf3.gcd(10, 15)
        self.assertEqual(5, result)
    
    def test_7(self):
        result = GcdWrongIf3.gcd(15, 20)
        self.assertEqual(5, result)
    
    def test_8(self):
        result = GcdWrongIf3.gcd(0, 10)
        self.assertEqual(10, result)
    
    def test_9(self):
        result = GcdWrongIf3.gcd(5, 15)
        self.assertEqual(5, result)
    
    def test_10(self):
        result = GcdWrongIf3.gcd(10, 20)
        self.assertEqual(10, result)
    
    def test_11(self):
        result = GcdWrongIf3.gcd(20, 0)
        self.assertEqual(20, result)
    
    def test_12(self):
        result = GcdWrongIf3.gcd(0, 15)
        self.assertEqual(15, result)
    
    def test_13(self):
        result = GcdWrongIf3.gcd(5, 20)
        self.assertEqual(5, result)
    
    def test_14(self):
        result = GcdWrongIf3.gcd(15, 0)
        self.assertEqual(15, result)
    
    def test_15(self):
        result = GcdWrongIf3.gcd(20, 5)
        self.assertEqual(5, result)
    
    def test_16(self):
        result = GcdWrongIf3.gcd(0, 20)
        self.assertEqual(20, result)
    
    def test_17(self):
        result = GcdWrongIf3.gcd(10, 0)
        self.assertEqual(10, result)
    
    def test_18(self):
        result = GcdWrongIf3.gcd(15, 5)
        self.assertEqual(5, result)
    
    def test_19(self):
        result = GcdWrongIf3.gcd(20, 10)
        self.assertEqual(10, result)
    
    def test_20(self):
        result = GcdWrongIf3.gcd(5, 0)
        self.assertEqual(5, result)
    
    def test_21(self):
        result = GcdWrongIf3.gcd(10, 5)
        self.assertEqual(5, result)
    
    def test_22(self):
        result = GcdWrongIf3.gcd(15, 10)
        self.assertEqual(5, result)
    
    def test_23(self):
        result = GcdWrongIf3.gcd(20, 15)
        self.assertEqual(5, result)
    
    def test_24(self):
        result = GcdWrongIf3.gcd(0, 5)
        self.assertEqual(5, result)

if __name__ == '__main__':
    unittest.main()"
GcdWrongIf1.py,"import unittest

class GcdWrongIf1:
    @staticmethod
    def gcd(a, b):
        if a == 0 and b == 0:  # a == 0
            return b
        while b != 0:
            if a > b:
                a = a - b
            else:
                b = b - a
        return a
    
class GcdTest(unittest.TestCase):   
    def test_0(self):
        result = GcdWrongIf1.gcd(0, 0)
        self.assertEqual(0, result)
    
    def test_1(self):
        result = GcdWrongIf1.gcd(5, 5)
        self.assertEqual(5, result)
    
    def test_2(self):
        result = GcdWrongIf1.gcd(10, 10)
        self.assertEqual(10, result)
    
    def test_3(self):
        result = GcdWrongIf1.gcd(15, 15)
        self.assertEqual(15, result)
    
    def test_4(self):
        result = GcdWrongIf1.gcd(20, 20)
        self.assertEqual(20, result)
    
    def test_5(self):
        result = GcdWrongIf1.gcd(5, 10)
        self.assertEqual(5, result)
    
    def test_6(self):
        result = GcdWrongIf1.gcd(10, 15)
        self.assertEqual(5, result)
    
    def test_7(self):
        result = GcdWrongIf1.gcd(15, 20)
        self.assertEqual(5, result)
    
    def test_8(self):
        result = GcdWrongIf1.gcd(0, 10)
        self.assertEqual(10, result)
    
    def test_9(self):
        result = GcdWrongIf1.gcd(5, 15)
        self.assertEqual(5, result)
    
    def test_10(self):
        result = GcdWrongIf1.gcd(10, 20)
        self.assertEqual(10, result)
    
    def test_11(self):
        result = GcdWrongIf1.gcd(20, 0)
        self.assertEqual(20, result)
    
    def test_12(self):
        result = GcdWrongIf1.gcd(0, 15)
        self.assertEqual(15, result)
    
    def test_13(self):
        result = GcdWrongIf1.gcd(5, 20)
        self.assertEqual(5, result)
    
    def test_14(self):
        result = GcdWrongIf1.gcd(15, 0)
        self.assertEqual(15, result)
    
    def test_15(self):
        result = GcdWrongIf1.gcd(20, 5)
        self.assertEqual(5, result)
    
    def test_16(self):
        result = GcdWrongIf1.gcd(0, 20)
        self.assertEqual(20, result)
    
    def test_17(self):
        result = GcdWrongIf1.gcd(10, 0)
        self.assertEqual(10, result)
    
    def test_18(self):
        result = GcdWrongIf1.gcd(15, 5)
        self.assertEqual(5, result)
    
    def test_19(self):
        result = GcdWrongIf1.gcd(20, 10)
        self.assertEqual(10, result)
    
    def test_20(self):
        result = GcdWrongIf1.gcd(5, 0)
        self.assertEqual(5, result)
    
    def test_21(self):
        result = GcdWrongIf1.gcd(10, 5)
        self.assertEqual(5, result)
    
    def test_22(self):
        result = GcdWrongIf1.gcd(15, 10)
        self.assertEqual(5, result)
    
    def test_23(self):
        result = GcdWrongIf1.gcd(20, 15)
        self.assertEqual(5, result)
    
    def test_24(self):
        result = GcdWrongIf1.gcd(0, 5)
        self.assertEqual(5, result)

if __name__ == '__main__':
    unittest.main()
"
GcdWrongIf4.py,"import unittest

class GcdWrongIf4:
    @staticmethod
    def gcd(a, b):
        if b == 0:  # (a == 0)
            return b
        while b != 0:
            if a > b:
                a = a - b
            else:
                b = b - a
        return a
    
class GcdTest(unittest.TestCase):   
    def test_0(self):
        result = GcdWrongIf4.gcd(0, 0)
        self.assertEqual(0, result)
    
    def test_1(self):
        result = GcdWrongIf4.gcd(5, 5)
        self.assertEqual(5, result)
    
    def test_2(self):
        result = GcdWrongIf4.gcd(10, 10)
        self.assertEqual(10, result)
    
    def test_3(self):
        result = GcdWrongIf4.gcd(15, 15)
        self.assertEqual(15, result)
    
    def test_4(self):
        result = GcdWrongIf4.gcd(20, 20)
        self.assertEqual(20, result)
    
    def test_5(self):
        result = GcdWrongIf4.gcd(5, 10)
        self.assertEqual(5, result)
    
    def test_6(self):
        result = GcdWrongIf4.gcd(10, 15)
        self.assertEqual(5, result)
    
    def test_7(self):
        result = GcdWrongIf4.gcd(15, 20)
        self.assertEqual(5, result)
    
    def test_8(self):
        result = GcdWrongIf4.gcd(0, 10)
        self.assertEqual(10, result)
    
    def test_9(self):
        result = GcdWrongIf4.gcd(5, 15)
        self.assertEqual(5, result)
    
    def test_10(self):
        result = GcdWrongIf4.gcd(10, 20)
        self.assertEqual(10, result)
    
    def test_11(self):
        result = GcdWrongIf4.gcd(20, 0)
        self.assertEqual(20, result)
    
    def test_12(self):
        result = GcdWrongIf4.gcd(0, 15)
        self.assertEqual(15, result)
    
    def test_13(self):
        result = GcdWrongIf4.gcd(5, 20)
        self.assertEqual(5, result)
    
    def test_14(self):
        result = GcdWrongIf4.gcd(15, 0)
        self.assertEqual(15, result)
    
    def test_15(self):
        result = GcdWrongIf4.gcd(20, 5)
        self.assertEqual(5, result)
    
    def test_16(self):
        result = GcdWrongIf4.gcd(0, 20)
        self.assertEqual(20, result)
    
    def test_17(self):
        result = GcdWrongIf4.gcd(10, 0)
        self.assertEqual(10, result)
    
    def test_18(self):
        result = GcdWrongIf4.gcd(15, 5)
        self.assertEqual(5, result)
    
    def test_19(self):
        result = GcdWrongIf4.gcd(20, 10)
        self.assertEqual(10, result)
    
    def test_20(self):
        result = GcdWrongIf4.gcd(5, 0)
        self.assertEqual(5, result)
    
    def test_21(self):
        result = GcdWrongIf4.gcd(10, 5)
        self.assertEqual(5, result)
    
    def test_22(self):
        result = GcdWrongIf4.gcd(15, 10)
        self.assertEqual(5, result)
    
    def test_23(self):
        result = GcdWrongIf4.gcd(20, 15)
        self.assertEqual(5, result)
    
    def test_24(self):
        result = GcdWrongIf4.gcd(0, 5)
        self.assertEqual(5, result)

if __name__ == '__main__':
    unittest.main()"
GcdWrongWhile.py,"import unittest

class GcdWrongWhile:
    @staticmethod
    def gcd(a, b):
        if a == 0:
            return b
        while a != 0:  # b != 0
            if a > b:
                a = a - b
            else:
                b = b - a
        return a
    
class GcdTest(unittest.TestCase):   
    def test_0(self):
        result = GcdWrongWhile.gcd(0, 0)
        self.assertEqual(0, result)
    
    def test_1(self):
        result = GcdWrongWhile.gcd(5, 5)
        self.assertEqual(5, result)
    
    def test_2(self):
        result = GcdWrongWhile.gcd(10, 10)
        self.assertEqual(10, result)
    
    def test_3(self):
        result = GcdWrongWhile.gcd(15, 15)
        self.assertEqual(15, result)
    
    def test_4(self):
        result = GcdWrongWhile.gcd(20, 20)
        self.assertEqual(20, result)
    
    def test_5(self):
        result = GcdWrongWhile.gcd(5, 10)
        self.assertEqual(5, result)
    
    def test_6(self):
        result = GcdWrongWhile.gcd(10, 15)
        self.assertEqual(5, result)
    
    def test_7(self):
        result = GcdWrongWhile.gcd(15, 20)
        self.assertEqual(5, result)
    
    def test_8(self):
        result = GcdWrongWhile.gcd(0, 10)
        self.assertEqual(10, result)
    
    def test_9(self):
        result = GcdWrongWhile.gcd(5, 15)
        self.assertEqual(5, result)
    
    def test_10(self):
        result = GcdWrongWhile.gcd(10, 20)
        self.assertEqual(10, result)
    
    def test_11(self):
        result = GcdWrongWhile.gcd(20, 0)
        self.assertEqual(20, result)
    
    def test_12(self):
        result = GcdWrongWhile.gcd(0, 15)
        self.assertEqual(15, result)
    
    def test_13(self):
        result = GcdWrongWhile.gcd(5, 20)
        self.assertEqual(5, result)
    
    def test_14(self):
        result = GcdWrongWhile.gcd(15, 0)
        self.assertEqual(15, result)
    
    def test_15(self):
        result = GcdWrongWhile.gcd(20, 5)
        self.assertEqual(5, result)
    
    def test_16(self):
        result = GcdWrongWhile.gcd(0, 20)
        self.assertEqual(20, result)
    
    def test_17(self):
        result = GcdWrongWhile.gcd(10, 0)
        self.assertEqual(10, result)
    
    def test_18(self):
        result = GcdWrongWhile.gcd(15, 5)
        self.assertEqual(5, result)
    
    def test_19(self):
        result = GcdWrongWhile.gcd(20, 10)
        self.assertEqual(10, result)
    
    def test_20(self):
        result = GcdWrongWhile.gcd(5, 0)
        self.assertEqual(5, result)
    
    def test_21(self):
        result = GcdWrongWhile.gcd(10, 5)
        self.assertEqual(5, result)
    
    def test_22(self):
        result = GcdWrongWhile.gcd(15, 10)
        self.assertEqual(5, result)
    
    def test_23(self):
        result = GcdWrongWhile.gcd(20, 15)
        self.assertEqual(5, result)
    
    def test_24(self):
        result = GcdWrongWhile.gcd(0, 5)
        self.assertEqual(5, result)

if __name__ == '__main__':
    unittest.main()
"
GcdWrongIf-checkpoint.py,"class GcdWrongIf2:
    @staticmethod
    def gcd(a, b):
        if a < b:  # a == 0
            return b
        while b != 0:
            if a > b:
                a = a - b
            else:
                b = b - a
        return a
"
GcdWrongIf1-checkpoint.py,"class GcdWrongIf1:
    @staticmethod
    def gcd(a, b):
        if a == 0 and b == 0:  # a == 0
            return b
        while b != 0:
            if a > b:
                a = a - b
            else:
                b = b - a
        return a
"
Gcd2-checkpoint.py,"
import unittest

class Gcd2:
    @staticmethod
    def gcd(a, b):
        if a == 0:
            return b
        while b != 0:
            if a > b:
                a = a - b
            else:
                b = a - b
        return a
    
class GcdTest(unittest.TestCase):
    def test_0(self):
        result = Gcd2.gcd(0, 0)
        self.assertEqual(0, result)
        
    def test_1(self):
        result = Gcd2.gcd(5, 5)
        self.assertEqual(5, result)
    
    def test_2(self):
        result = Gcd2.gcd(10, 10)
        self.assertEqual(10, result)
   
    def test_3(self):
        result = Gcd2.gcd(15, 15)
        self.assertEqual(15, result)
   
    def test_4(self):
        result = Gcd2.gcd(20, 20)
        self.assertEqual(20, result)
   
    def test_5(self):
        result = Gcd2.gcd(5, 10)
        self.assertEqual(5, result)
    
    def test_6(self):
        result = Gcd2.gcd(10, 15)
        self.assertEqual(5, result)
    
    def test_7(self):
        result = Gcd2.gcd(15, 20)
        self.assertEqual(5, result)
    
    def test_8(self):
        result = Gcd2.gcd(0, 10)
        self.assertEqual(10, result)
    
    def test_9(self):
        result = Gcd2.gcd(5, 15)
        self.assertEqual(5, result)
    
    def test_10(self):
        result = Gcd2.gcd(10, 20)
        self.assertEqual(10, result)
    
    def test_11(self):
        result = Gcd2.gcd(20, 0)
        self.assertEqual(20, result)
    
    def test_12(self):
        result = Gcd2.gcd(0, 15)
        self.assertEqual(15, result)
    
    def test_13(self):
        result = Gcd2.gcd(5, 20)
        self.assertEqual(5, result)
    
    def test_14(self):
        result = Gcd2.gcd(15, 0)
        self.assertEqual(15, result)
    
    def test_15(self):
        result = Gcd2.gcd(20, 5)
        self.assertEqual(5, result)
    
    def test_16(self):
        result = Gcd2.gcd(0, 20)
        self.assertEqual(20, result)
    
    def test_17(self):
        result = Gcd2.gcd(10, 0)
        self.assertEqual(10, result)
    
    def test_18(self):
        result = Gcd2.gcd(15, 5)
        self.assertEqual(5, result)
    
    def test_19(self):
        result = Gcd2.gcd(20, 10)
        self.assertEqual(10, result)
    
    def test_20(self):
        result = Gcd2.gcd(5, 0)
        self.assertEqual(5, result)
    
    def test_21(self):
        result = Gcd2.gcd(10, 5)
        self.assertEqual(5, result)
    
    def test_22(self):
        result = Gcd2.gcd(15, 10)
        self.assertEqual(5, result)
    
    def test_23(self):
        result = Gcd2.gcd(20, 15)
        self.assertEqual(5, result)

    def test_24(self):
        result = Gcd2.gcd(0, 5)
        self.assertEqual(5, result)


if __name__ == '__main__':
    unittest.main()
"
